title,release_date,genres,original_language,vote_average,vote_count,popularity,budget,production_companies,revenue,runtime,profit
13 Exorcisms,2022-11-04,"['Drama', 'Horror']",Spanish,5.6,66,225.617,0,"['Mr. Fields and Friends', 'Atresmedia', 'Bambú Producciones', 'Movistar+']",1891519,104,1891519
Sonic the Hedgehog 2,2022-04-08,"['Action', 'Adventure', 'Family', 'Comedy']",English,7.6,3894,233.707,110000000,"['Original Film', 'Blur Studio', 'Marza Animation Planet', 'Paramount', 'SEGA']",402656846,122,292656846
Yuku et la fleur de l’Himalaya,2022-10-19,"['Animation', 'Family', 'Adventure']",Estonian,2.0,2,197.218,0,"['Vivement lundi !', 'Nadasdy Film', 'Les Films du Nord', 'Artémis Productions', 'La Boîte, ... Productions']",0,65,0
Legion of Super-Heroes,2023-02-07,"['Animation', 'Action', 'Science Fiction']",English,6.3,85,232.521,0,"['Warner Bros. Animation', 'DC Entertainment', 'Warner Bros. Home Entertainment Group']",0,84,0
The Magician's Elephant,2023-03-10,"['Animation', 'Adventure', 'Family', 'Fantasy']",English,7.1,116,217.567,0,"['Animal Logic', 'Netflix Animation', 'Village Roadshow Pictures', 'Pistor Productions']",0,99,0
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,2019-03-29,"['Action', 'Animation', 'Fantasy']",Japanese,8.0,87,261.859,0,['ufotable'],0,105,0
Disquiet,2023-02-10,"['Thriller', 'Horror', 'Mystery']",English,7.0,25,230.226,0,"['SP Media Group', 'Steven Paul Production', 'Front Street Pictures']",0,85,0
Terrifier 2,2022-10-06,['Horror'],English,6.9,1171,223.727,250000,"['Dark Age Cinema', 'Fuzz on the Lens Productions', 'Bloody Disgusting']",12400000,138,12150000
Clock,2023-03-28,"['Horror', 'Mystery', 'Thriller']",English,6.1,55,411.923,0,['20th Digital Studio'],0,92,0
John Wick: Chapter 3 - Parabellum,2019-05-15,"['Action', 'Thriller', 'Crime']",English,7.4,9165,226.51,55000000,"['Thunder Road', 'Lionsgate', '87Eleven']",326709727,131,271709727
Guardians of the Galaxy,2014-07-30,"['Action', 'Science Fiction', 'Adventure']",English,7.9,25861,255.418,170000000,['Marvel Studios'],772776600,121,602776600
H.P. Lovecraft's Witch House,2022-06-29,['Horror'],English,5.8,12,215.135,0,['Horror Wasteland Pictures International'],0,82,0
Jurassic World Dominion,2022-06-01,"['Adventure', 'Action', 'Science Fiction']",English,6.9,4778,237.086,165000000,"['Amblin Entertainment', 'Universal Pictures']",1001978080,147,836978080
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Thriller']",Japanese,8.3,3080,256.503,15800000,"['ufotable', 'Aniplex', 'Shueisha', 'STUDIO MAUSU', 'TOHO']",503063688,117,487263688
Die Hart,2023-02-22,"['Action', 'Comedy', 'Thriller']",English,6.1,278,221.084,0,['HartBeat Productions'],0,85,0
The Guardians of the Galaxy Holiday Special,2022-11-25,"['Comedy', 'Science Fiction', 'Adventure']",English,7.3,1312,232.205,0,"['Marvel Studios', 'Kevin Feige Productions', 'Troll Court Entertainment']",0,45,0
The Forbidden Legend: Sex & Chopsticks 2,2009-03-04,"['Comedy', 'Drama', 'Romance']",cn,6.2,74,255.11,0,"['Universal Media Studios', 'Twin Co. Ltd.', 'My Way Film Company']",0,93,0
Smile,2022-09-23,"['Horror', 'Mystery', 'Thriller']",English,6.8,1982,204.835,17000000,"['Paramount Players', 'Temple Hill Entertainment', 'Paramount']",216135048,115,199135048
Scream,2022-01-12,"['Horror', 'Mystery', 'Thriller']",English,6.7,2388,204.722,24000000,"['Paramount', 'Project X Entertainment', 'Radio Silence', 'Spyglass Media Group']",140041405,114,116041405
Roald Dahl's Matilda the Musical,2022-11-25,"['Family', 'Comedy', 'Fantasy']",English,6.8,563,208.067,25000000,"['Working Title Films', 'The Roald Dahl Story Company']",13276499,117,-11723501
Encanto at the Hollywood Bowl,2022-12-28,['Music'],English,7.1,133,199.279,0,"['AMP International', 'Disney Concerts', 'Fulwell 73', 'Live Nation Productions']",0,45,0
Gold Run,2022-12-15,"['War', 'Action', 'Adventure', 'Thriller']",Norwegian,6.8,33,220.971,0,"['74 Entertainment', 'Viaplay']",0,117,0
The Woman King,2022-09-16,"['Action', 'Drama', 'History']",English,7.8,1445,227.376,50000000,"['TriStar Pictures', 'JuVee Productions', 'Jack Blue Productions', 'Entertainment One', 'Welle Entertainment']",91000000,135,41000000
R.I.P.D. 2: Rise of the Damned,2022-11-15,"['Action', 'Comedy', 'Fantasy', 'Crime']",English,6.6,462,206.501,0,['Universal 1440 Entertainment'],0,102,0
Sick,2022-09-11,"['Horror', 'Thriller']",English,6.3,132,206.397,0,"['Miramax', 'Outerbanks Entertainment', 'Blumhouse Productions']",0,83,0
The Simpsons Meet the Bocellis in Feliz Navidad,2022-12-15,"['Animation', 'Family', 'Comedy']",English,5.2,36,194.059,0,"['Gracie Films', '20th Television', '20th Television Animation']",0,4,0
Queens on the Run,2023-04-14,"['Comedy', 'Action']",Spanish,7.0,83,204.485,0,"['Perro Azul', 'Selva Pictures']",0,96,0
Assassin Club,2023-02-24,"['Action', 'Thriller']",English,7.1,35,355.636,0,"['Film Bridge International', 'The Motus Studios']",0,113,0
Suzume,2022-11-11,"['Animation', 'Drama', 'Adventure', 'Fantasy']",Japanese,8.0,328,191.196,0,"['CoMix Wave Films', 'Story', 'Lawson Entertainment', 'East Japan Marketing & Communications', 'voque ting', 'KADOKAWA', 'Aniplex', 'TOHO']",319581709,123,319581709
Sayen,2023-03-03,['Action'],Spanish,6.2,76,200.093,0,"['Fabula', 'Amazon Studios']",0,94,0
Hex,2022-11-01,"['Action', 'Horror', 'Thriller']",English,5.9,66,205.478,0,['Hex Movie'],0,88,0
Doctor Strange in the Multiverse of Madness,2022-05-04,"['Fantasy', 'Action', 'Adventure']",English,7.4,7372,203.873,200000000,"['Marvel Studios', 'Kevin Feige Productions']",952224986,126,752224986
Medieval,2022-09-08,"['Action', 'Drama', 'History']",English,7.2,374,183.271,23000000,"['JBJ Film', 'Three Brothers Production']",4311284,126,-18688716
Violent Night,2022-11-30,"['Action', 'Comedy', 'Crime', 'Thriller']",English,7.5,1399,187.063,20000000,"['87North Productions', 'Universal Pictures']",75734910,112,55734910
John Wick: Chapter 2,2017-02-08,"['Action', 'Thriller', 'Crime']",English,7.3,11464,187.39,40000000,"['Thunder Road', '87Eleven', 'Summit Entertainment']",171539887,122,131539887
F9,2021-05-19,"['Action', 'Adventure', 'Crime', 'Thriller']",English,7.2,6228,190.163,200000000,"['Original Film', 'One Race', 'Perfect Storm Entertainment', 'Universal Pictures', 'Roth-Kirschenbaum Films']",726229501,143,526229501
A Frozen Rooster,2022-12-14,"['Animation', 'Adventure', 'Comedy', 'Family']",Spanish,7.8,281,187.503,0,['Huevocartoon Producciones'],0,91,0
Beautiful Disaster,2023-04-04,"['Romance', 'Drama', 'Comedy']",English,5.6,67,176.549,0,['Voltage Pictures'],0,96,0
Huesera: The Bone Woman,2023-02-10,"['Drama', 'Horror', 'Mystery']",Spanish,5.8,194,164.652,0,"['Disruptiva Films', 'Machete Producciones', 'Maligno Gorehouse', 'Terminal']",0,93,0
The Batman,2022-03-01,"['Crime', 'Mystery', 'Thriller']",English,7.7,7894,193.575,185000000,"['6th & Idaho', 'Dylan Clark Productions', 'DC Films', 'Warner Bros. Pictures']",770945583,177,585945583
Luck,2022-08-05,"['Animation', 'Adventure', 'Comedy', 'Fantasy']",English,7.9,1250,176.339,0,"['Skydance Animation', 'Skydance Animation East', 'Skydance Animation']",0,105,0
Transfusion,2023-01-05,['Crime'],English,6.4,163,236.871,0,"['Deeper Water Films', 'Madman Entertainment', 'Altitude Media']",0,105,0
The Enforcer,2022-09-22,"['Action', 'Crime', 'Drama', 'Thriller']",English,7.4,302,189.543,1261569,"['Born to Burn Films', 'Millenium Media Group', 'Millennium Films']",0,91,-1261569
A Man Called Otto,2022-12-28,"['Comedy', 'Drama']",English,7.9,1129,194.447,50000000,"['Playtone', 'SF Studios', '2DUX²', 'Artistic Films', 'Columbia Pictures']",108961677,126,58961677
Fast & Furious Presents: Hobbs & Shaw,2019-08-01,"['Action', 'Adventure', 'Comedy']",English,6.9,6308,200.003,200000000,"['Chris Morgan Productions', 'Seven Bucks Productions', 'Universal Pictures']",760098996,137,560098996
Dolphin Boy,2022-04-07,"['Animation', 'Adventure', 'Fantasy', 'Comedy']",Russian,6.6,54,165.773,0,['SkyFrame'],0,90,0
Venus,2022-12-02,"['Drama', 'Horror', 'Thriller']",Spanish,5.6,87,183.23,0,['Pokeepsie Films'],0,101,0
Avengers: Infinity War,2018-04-25,"['Adventure', 'Action', 'Science Fiction']",English,8.3,26811,205.036,300000000,['Marvel Studios'],2046239637,149,1746239637
All Quiet on the Western Front,2022-10-07,"['Drama', 'War', 'History']",German,7.8,2629,167.289,20000000,"['RocketScience', 'Amusement Park Films']",0,147,-20000000
Superfast!,2015-03-05,"['Comedy', 'Action']",English,5.0,337,196.749,20000000,"['The Safran Company', '3 in the Box', 'Ketchup Entertainment']",0,99,-20000000
Guillermo del Toro's Pinocchio,2022-11-09,"['Animation', 'Fantasy', 'Drama', 'Music']",English,8.2,2239,178.939,35000000,"['The Jim Henson Company', 'ShadowMachine', 'Double Dare You Productions']",0,117,-35000000
Project Gemini,2022-01-06,"['Science Fiction', 'Horror']",English,5.8,321,181.907,0,['KD Studios'],0,98,0
Bandit,2022-09-23,"['Crime', 'Drama', 'Thriller']",English,6.2,157,187.649,0,"['Goldrush Entertainment', 'Yale Productions', 'Lucky 13 Productions']",0,126,0
Avatar,2009-12-15,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",English,7.6,29040,188.103,237000000,"['Dune Entertainment', 'Lightstorm Entertainment', '20th Century Fox', 'Ingenious Media']",2923706026,162,2686706026
Devotion,2022-11-23,"['War', 'History', 'Drama']",English,7.3,466,179.045,90000000,"['Black Label Media', 'STX Entertainment', 'Columbia Pictures', 'Stage 6 Films']",20000000,139,-70000000
Minions: The Rise of Gru,2022-06-29,"['Animation', 'Comedy', 'Family']",English,7.4,2806,161.183,85000000,"['Universal Pictures', 'Illumination']",939628210,87,854628210
Little Dixie,2023-02-03,"['Thriller', 'Action', 'Drama', 'Crime']",English,6.0,97,183.072,0,"['Roxwell Films', 'Three Point Capital']",0,105,0
Diabolik - Ginko Attacks,2022-11-17,"['Crime', 'Action']",Italian,6.0,245,164.311,0,"['Mompracem', 'Astorina S.A.C.', 'Emilia-Romagna Film Commission', 'RAI Cinema']",1228459,111,1228459
Sword Art Online: Extra Edition,2013-12-31,"['Animation', 'Fantasy', 'Adventure']",Japanese,6.0,4,174.224,0,"['A-1 Pictures', 'SAO-P Project']",0,101,0
3-D Sex and Zen: Extreme Ecstasy,2011-04-14,"['Drama', 'Adventure', 'Romance', 'Action', 'History']",cn,4.8,86,204.23,3500000,"['One Dollar Production Limited', 'Local Production', 'Film Workshop', 'Tai Seng Entertainment', 'Keyfilms Roma', 'Medusa Film', 'Lucky Red']",10308238,105,6808238
Turning Red,2022-03-10,"['Animation', 'Family', 'Comedy', 'Fantasy']",English,7.5,4150,154.459,190000000,"['Walt Disney Pictures', 'Pixar']",18879922,100,-171120078
A Tourist's Guide to Love,2023-04-21,"['Romance', 'Comedy', 'Adventure']",English,6.5,68,161.027,0,"['Cook and Muse Entertainment', 'Head First Productions', 'Muse Entertainment', 'Radius Squared Media Group']",0,96,0
Encanto,2021-10-13,"['Animation', 'Comedy', 'Family', 'Fantasy']",English,7.6,8169,162.618,50000000,"['Walt Disney Animation Studios', 'Walt Disney Pictures']",253000000,102,203000000
The Whale,2022-12-09,['Drama'],English,8.0,2202,168.316,3000000,"['A24', 'Protozoa Pictures']",55101305,116,52101305
The Offering,2022-09-23,"['Drama', 'Horror']",English,5.7,124,143.144,0,"['Millennium Films', 'Decal']",0,93,0
The Last Heretic,2022-11-09,"['Thriller', 'Horror']",Spanish,5.6,19,148.708,0,['Furia Films'],0,80,0
Evil Dead,2013-04-05,['Horror'],English,6.5,4045,198.992,17000000,"['TriStar Pictures', 'FilmDistrict', 'Ghost House Pictures']",97542952,91,80542952
Operation Fortune: Ruse de Guerre,2023-01-04,"['Action', 'Comedy', 'Adventure']",English,6.6,666,169.659,50000000,"['Miramax', 'STX Entertainment', 'Toff Guy Films', 'Tencent Pictures', 'AZ Celtic Films']",37846713,114,-12153287
Uncharted,2022-02-10,"['Action', 'Adventure']",English,7.0,4655,141.184,120000000,"['Columbia Pictures', 'Atlas Entertainment', 'PlayStation Productions', 'Arad Productions', 'Studio Babelsberg', 'Deutscher Filmförderfonds', 'Medienboard Berlin-Brandenburg']",401748820,116,281748820
Lord of the Streets,2022-04-22,['Action'],English,5.3,62,165.5,1000000,['Mutiny Films'],0,85,-1000000
Sing 2,2021-12-01,"['Animation', 'Family']",English,8.0,3660,156.662,85000000,"['Universal Pictures', 'Illumination']",406000000,110,321000000
Ryoma! The Prince of Tennis,2021-11-11,"['Animation', 'Comedy']",Japanese,2.0,1,231.562,0,"['The Monk Studios', 'GAGA Corporation', 'KEICA']",0,100,0
Orkestra Lurtarra,2022-04-08,"['Animation', 'Adventure', 'Comedy']",Basque,4.7,6,131.416,0,"['Lotura Films', 'EiTB']",0,70,0
The Lair,2022-10-28,"['Horror', 'Action']",English,5.8,101,139.433,0,"['Highland Film Group', 'Rather Good Films', 'Ingenious Media', 'Scarlet Productions', 'Ashland Hill Media Finance']",0,93,0
Stand by Me Doraemon 2,2020-11-20,"['Animation', 'Family', 'Science Fiction']",Japanese,7.7,138,149.235,0,"['TOHO', 'Shin-Ei Animation', 'Fujiko Productions', 'Shogakukan', 'TV Asahi', 'Shogakukan-Shueisha Productions', 'Shirogumi', 'Robot Communications', 'dentsu', 'Asatsu-DK']",0,96,0
Nocebo,2022-11-03,"['Mystery', 'Thriller', 'Horror']",English,6.2,74,148.458,0,"['Lovely Productions', 'Wild Swim Films', 'Epicmedia']",0,96,0
Hotel Transylvania: Transformania,2022-02-25,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Adventure']",English,7.0,1503,142.152,0,"['Sony Pictures Animation', 'Sony Pictures', 'MRC']",0,87,0
The Boss Baby: Christmas Bonus,2022-12-06,"['Animation', 'Family', 'Adventure']",English,6.8,232,142.821,0,['DreamWorks Animation'],0,47,0
Jeepers Creepers: Reborn,2022-09-15,"['Horror', 'Thriller', 'Mystery']",English,5.7,761,154.246,5000000,"['Orwo Studios (US)', 'Screen Media Films', 'Black Hangar Studios']",5954938,88,954938
Hunger,2023-04-04,"['Drama', 'Thriller']",Thai,7.5,201,152.161,0,['Song Sound Production'],0,145,0
My Name Is Vendetta,2022-11-30,"['Action', 'Crime', 'Thriller']",Italian,6.8,463,142.507,0,['Colorado Film'],0,90,0
Todos lo hacen,2022-12-28,"['Comedy', 'Crime']",Spanish,6.9,14,125.395,0,['A Contracorriente Films'],0,99,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,"['Adventure', 'Family', 'Fantasy']",English,7.1,9510,152.756,180000000,"['Walt Disney Pictures', 'Walden Media', 'C.S. Lewis Company']",745013115,143,565013115
Dungeons & Dragons,2000-12-08,"['Drama', 'Adventure', 'Fantasy']",English,4.3,523,128.766,35000000,"['New Line Cinema', 'Silver Pictures', 'Sweetpea Entertainment', 'Behaviour Worldwide', 'MDP Worldwide', 'Stillking Films']",15185241,107,-19814759
Shrek,2001-05-18,"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']",English,7.7,15254,152.468,60000000,"['DreamWorks Pictures', 'Pacific Data Images', 'DreamWorks Animation']",487853320,90,427853320
Miracle in Cell No. 7,2019-10-10,['Drama'],Turkish,8.3,4125,128.27,0,"['Lanistar Media', 'Motion Content Group', 'CJ Entertainment Turkey']",19289062,132,19289062
Zatch Bell! 101st Devil,2004-07-09,"['Comedy', 'Animation', 'Adventure', 'Action']",Japanese,7.2,44,142.171,0,['Toei Animation'],0,84,0
¡Que Viva México!,2023-03-23,"['Drama', 'Comedy']",Spanish,5.6,7,146.179,0,['Bandidos Films'],0,191,0
The Fate of the Furious,2017-04-12,"['Action', 'Crime', 'Thriller']",English,6.9,9445,161.934,250000000,"['Original Film', 'One Race', 'Universal Pictures']",1236005118,136,986005118
Furious 7,2015-04-01,"['Action', 'Thriller', 'Crime']",English,7.2,9693,150.018,190000000,"['Original Film', 'One Race', 'Universal Pictures']",1515341399,137,1325341399
The Exorcism of God,2022-03-11,['Horror'],English,7.2,814,141.487,1500000,['Epica Pictures INC'],0,98,-1500000
Beast,2022-08-11,"['Thriller', 'Action', 'Horror', 'Adventure', 'Drama']",English,6.8,1089,140.455,0,"['RVK Studios', 'Will Packer Productions', 'Universal Pictures']",56000000,93,56000000
The Last 10 Years,2022-03-04,"['Drama', 'Romance']",Japanese,7.0,25,174.204,0,['Warner Bros. Japan'],22456368,124,22456368
John Wick,2014-10-22,"['Action', 'Thriller']",English,7.4,17279,129.839,20000000,"['87Eleven', 'DefyNite Films', 'MJW Films', 'Thunder Road']",88761661,101,68761661
The Price We Pay,2023-01-13,"['Action', 'Thriller', 'Mystery', 'Crime', 'Horror']",English,5.9,111,134.389,0,"['828 Productions', 'Buffalo 8', '828 Media Capital', 'VMI Worldwide', 'ABS Payroll & Production Accounting Services', 'Project Indie Hope']",0,85,0
Saint Seiya: Legend of Sanctuary,2014-06-21,"['Action', 'Animation', 'Fantasy']",Japanese,6.5,590,129.686,23000000,"['Toei Animation', 'Marza Animation Planet']",17150803,93,-5849197
